노인여가복지시설 총괄표(시･군･구),,,,,,
"(단위 : 개소, 명)",,,,,,"(단위 : 개소, 명)"
시 · 도,65세 이상 노인인구,합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,(2018.12.31,,,,,
,주민등록 인구기준),,시 설 수,종 사 자 수,,
서울 합계,"7,650,408","3,885",82,"1,511","3,425",378
종로구,"1,410,297",75,3,89,62,10
중구,"26,572",52,2,61,47,3
용산구,"21,750",115,2,78,88,25
성동구,"37,212",180,3,42,161,16
광진구,"42,629",109,1,28,97,11
동대문구,"45,432",152,1,26,134,17
중랑구,"56,991",138,5,75,123,10
성북구,"61,748",181,5,39,165,11
강북구,"67,646",115,1,26,98,16
도봉구,"58,103",147,5,108,135,7
노원구,"55,926",263,3,50,246,14
은평구,"77,032",176,7,102,153,16
서대문구,"77,263",122,5,53,106,11
마포구,"50,045",172,4,66,154,14
양천구,"50,544",191,4,58,164,23
강서구,"57,941",247,5,53,217,25
구로구,"79,445",215,2,44,193,20
금천구,"61,105",80,3,64,70,7
영등포구,"35,354",203,3,40,172,28
동작구,"54,906",152,2,57,136,14
관악구,"59,265",132,1,34,113,18
서초구,"71,888",149,3,75,137,9
강남구,"54,663",193,6,86,165,22
송파구,"66,957",188,3,50,168,17
강동구,"81,211",138,3,107,121,14
부산 합계,"589,961","2,509",31,374,"2,311",167
중구,"10,380",32,2,21,30,0
서구,"25,205",79,2,23,73,4
동구,"21,407",81,3,31,72,6
영도구,"29,072",86,2,20,71,13
부산진구,"64,599",281,3,33,262,16
동래구,"44,255",161,1,14,145,15
남구,"50,151",193,1,13,179,13
북구,"43,125",163,1,13,144,18
해운대구,"62,825",268,2,34,246,20
사하구,"52,805",199,3,30,188,8
금정구,"44,382",145,1,17,132,12
강서구,"14,090",165,2,16,157,6
연제구,"35,526",132,2,30,117,13
수영구,"33,784",98,1,13,88,9
사상구,"34,306",145,2,20,132,11
기장군,"24,049",281,3,46,275,3
대구 합계,"362,934","1,562",19,201,"1,508",35
중구,"15,566",54,1,12,47,6
동구,"61,656",217,3,29,211,3
서구,"35,821",94,3,24,82,9
남구,"32,158",69,1,10,63,5
북구,"56,894",279,4,35,275,0
수성구,"61,089",251,3,39,244,4
달서구,"70,983",280,2,27,271,7
달성군,"28,767",318,2,25,315,1
인천 합계,"362,675","1,540",20,281,"1,489",31
중구,"17,482",81,1,16,77,3
동구,"13,254",39,2,48,36,1
미추홀구,"62,833",164,3,33,158,3
연수구,"31,227",152,3,40,148,1
남동구,"62,248",186,1,28,179,6
부평구,"66,424",199,2,24,188,9
계양구,"33,119",163,4,39,153,6
서구,"49,975",252,3,35,247,2
강화군,"21,148",234,1,18,233,0
옹진군,"4,965",70,0,0,70,0
광주 합계,"187,186","1,364",9,220,"1,315",40
동구,"20,337",117,1,17,110,6
서구,"38,468",243,1,27,232,10
남구,"34,677",237,3,100,229,5
북구,"58,793",390,2,42,373,15
광산구,"34,911",377,2,34,371,4
대전 합계,"188,530",837,7,128,817,13
동구,"38,664",162,2,28,158,2
중구,"41,625",146,1,17,144,1
서구,"54,225",209,2,25,206,1
유성구,"29,219",198,1,38,188,9
대덕구,"24,797",122,1,20,121,0
울산 합계,"123,919",841,13,170,806,22
중구,"29,405",89,2,29,86,1
남구,"33,804",147,4,60,141,2
동구,"16,783",66,3,28,60,3
북구,"14,984",137,2,24,128,7
울주군,"28,943",402,2,29,391,9
