"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,17916,89714,56,33649,228,18675,8847,9573,57,1,122,20906,4,986,1,414,1,200,62,83,4864,65,60,4088,3611,1062,3,12
"서울시",종로구,494,3317,4,2955,2,227,197,92,7,-,-,-,-,-,-,-,-,-,1,40,157,-,-,-,126,3,-,-
"서울시",중구,572,1365,2,701,4,442,240,172,14,-,-,-,-,-,-,-,-,-,6,-,209,-,1,50,96,-,-,-
"서울시",용산구,310,926,1,725,2,112,140,88,1,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,60,-,1,1
"서울시",성동구,456,1803,1,855,5,301,219,135,-,-,3,512,-,-,-,-,-,-,1,-,129,-,-,-,98,-,-,-
"서울시",광진구,552,2591,2,1063,5,438,269,466,-,-,3,574,-,-,-,-,-,-,2,-,153,-,1,-,117,50,-,-
"서울시",동대문구,586,5509,4,1733,13,1583,256,478,-,-,8,1506,-,-,-,-,-,-,4,26,149,-,1,170,150,8,1,5
"서울시",중랑구,531,3238,3,1045,13,1015,244,579,-,-,2,272,-,-,-,-,1,200,-,-,157,-,1,45,110,82,-,-
"서울시",성북구,540,3484,1,1048,6,517,256,380,1,-,6,1305,1,223,-,-,-,-,1,-,147,-,-,-,121,11,-,-
"서울시",강북구,466,2355,1,201,10,900,223,356,-,-,6,869,-,-,-,-,-,-,1,-,127,1,-,-,98,28,-,-
"서울시",도봉구,367,2582,1,354,8,1197,162,140,-,-,5,548,1,160,-,-,-,-,1,-,105,-,2,183,82,-,-,-
"서울시",노원구,734,3582,3,1563,6,364,357,428,-,-,7,1075,-,-,-,-,-,-,3,-,199,-,3,137,156,15,-,-
"서울시",은평구,677,3812,2,950,10,778,321,360,-,-,7,1193,-,-,1,414,-,-,1,-,183,-,2,76,150,41,-,-
"서울시",서대문구,441,3733,2,2662,5,248,211,272,-,-,3,436,-,-,-,-,-,-,2,7,125,-,1,88,92,20,-,-
"서울시",마포구,742,925,-,-,3,191,375,124,1,-,3,379,-,-,-,-,-,-,3,-,204,-,2,179,151,52,-,-
"서울시",양천구,638,2886,3,1270,5,453,286,329,-,-,4,596,-,-,-,-,-,-,3,-,183,-,3,197,151,41,-,-
"서울시",강서구,861,4729,4,1311,17,1354,410,541,2,-,5,941,-,-,-,-,-,-,3,-,225,-,6,448,189,134,-,-
"서울시",구로구,569,4433,2,1275,8,726,266,236,2,-,7,1601,1,403,-,-,-,-,1,-,170,-,2,128,110,64,-,-
"서울시",금천구,354,2220,1,242,6,628,160,271,-,-,4,671,-,-,-,-,-,-,-,-,106,-,3,348,74,60,-,-
"서울시",영등포구,779,5837,7,2110,8,905,354,342,8,-,13,2339,-,-,-,-,-,-,1,-,238,-,2,103,148,38,-,-
"서울시",동작구,588,2781,2,1572,5,315,269,278,-,-,3,523,-,-,-,-,-,-,2,-,173,-,1,50,133,43,-,-
"서울시",관악구,698,2459,1,291,11,820,324,442,3,-,3,655,-,-,-,-,-,-,1,-,200,-,2,86,153,165,-,-
"서울시",서초구,1251,3682,1,1356,13,1057,661,298,7,-,4,582,-,-,-,-,-,-,4,-,311,8,5,369,244,6,1,6
"서울시",강남구,2693,8637,3,3013,32,2040,1697,1388,5,1,9,1267,-,-,-,-,-,-,14,1,558,56,12,815,363,56,-,-
"서울시",송파구,1194,6879,2,3095,17,1219,574,766,3,-,10,1407,1,200,-,-,-,-,4,-,327,-,4,176,252,16,-,-
"서울시",강동구,823,5949,3,2259,14,845,376,612,3,-,7,1655,-,-,-,-,-,-,3,9,224,-,6,440,187,129,-,-
