다. 노인여가복지시설 총괄표(시･군･구),,,,,,
,,,,,,"(단위 : 개소, 명)"
시·도,"65세 이상 노인인구
(2020.12.31
주민등록 인구기준)",합 계,노 인 복 지 관,,경 로 당,노 인 교 실
,,,시설수,종사자수,,
서울합계,"1,561,139","3,910",83,"2,225","3,472",355
종로구,"28,311",75,3,111,63,9
중구,"24,174",54,2,66,48,4
용산구,"39,779",110,2,75,88,20
성동구,"45,435",179,4,82,162,13
광진구,"50,311",106,1,63,95,10
동대문구,"61,612",151,1,41,134,16
중랑구,"69,341",143,5,156,127,11
성북구,"73,613",190,6,110,175,9
강북구,"63,313",118,1,35,100,17
도봉구,"62,009",149,5,95,135,9
노원구,"85,420",259,3,125,243,13
은평구,"85,010",178,7,170,154,17
서대문구,"53,756",127,4,96,111,12
마포구,"54,002",169,4,70,154,11
양천구,"65,541",191,4,142,164,23
강서구,"88,733",248,5,97,218,25
구로구,"69,201",221,2,44,199,20
금천구,"39,314",83,3,113,73,7
영등포구,"60,663",202,1,27,174,27
동작구,"64,928",151,3,63,140,8
관악구,"78,430",134,1,33,114,19
서초구,"60,072",151,4,130,141,6
강남구,"74,959",195,6,94,167,22
송파구,"93,309",192,3,48,172,17
강동구,"69,903",134,3,139,121,10
부산합계,"657,711","2,529",32,564,"2,330",167
중구,"11,315",33,2,21,31,0
서구,"27,346",80,2,26,74,4
동구,"23,381",83,3,32,74,6
영도구,"31,483",85,2,83,70,13
부산진구,"70,896",283,3,34,262,18
동래구,"49,927",155,1,12,141,13
남구,"53,898",188,1,25,174,13
북구,"49,304",166,1,83,146,19
해운대구,"70,306",266,2,34,245,19
사하구,"59,570",205,3,36,194,8
금정구,"48,920",144,1,24,129,14
강서구,"16,633",170,2,26,162,6
연제구,"40,515",137,2,36,122,13
수영구,"37,610",96,2,25,87,7
사상구,"38,865",146,2,25,133,11
기장군,"27,742",292,3,42,286,3
대구합계,"400,494","1,574",19,277,"1,524",31
중구,"15,928",55,1,13,48,6
동구,"67,439",217,3,30,212,2
서구,"38,587",94,3,27,81,10
남구,"34,187",70,1,61,65,4
북구,"64,054",281,4,46,276,1
