"자치구별(1)",자치구별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,한센병원,한센병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,18556,92547,56,33711,225,16499,9422,9313,65,1,119,21848,3,760,1,414,-,-,12,2653,60,73,4889,51,88,5580,3613,1637,3,7
"서울시",종로구,480,3686,4,2985,2,229,199,102,8,-,1,96,-,-,-,-,-,-,-,-,1,40,149,-,2,214,114,20,-,-
"서울시",중구,579,1166,2,663,3,241,251,176,16,-,-,-,-,-,-,-,-,-,-,-,6,-,203,-,1,50,97,36,-,-
"서울시",용산구,327,896,1,725,2,80,156,80,1,-,-,-,-,-,-,-,-,-,-,-,-,-,103,-,-,-,63,10,1,1
"서울시",성동구,466,1835,1,855,5,360,236,102,-,-,3,509,-,-,-,-,-,-,-,-,1,-,123,-,-,-,97,9,-,-
"서울시",광진구,564,2650,2,1095,4,231,281,428,-,-,2,489,-,-,-,-,-,-,1,200,2,-,151,-,2,102,119,105,-,-
"서울시",동대문구,597,5233,4,1723,13,1213,262,391,-,-,6,1162,-,-,-,-,-,-,2,502,4,12,158,-,2,160,145,65,1,5
"서울시",중랑구,547,3273,3,1041,12,972,255,562,-,-,2,270,-,-,-,-,-,-,1,268,-,-,159,-,1,45,114,115,-,-
"서울시",성북구,541,3687,1,1056,6,480,253,369,1,-,8,1644,-,-,-,-,-,-,-,-,1,-,151,-,2,107,118,31,-,-
"서울시",강북구,466,2334,1,201,9,866,226,377,-,-,5,775,-,-,-,-,-,-,-,-,1,-,130,1,1,58,93,56,-,-
"서울시",도봉구,375,2708,1,330,5,615,168,112,-,-,6,769,1,157,-,-,-,-,2,441,1,-,104,-,4,284,83,-,-,-
"서울시",노원구,752,3557,3,1513,5,334,377,434,-,-,6,1057,-,-,-,-,-,-,-,-,3,-,203,-,4,196,151,23,-,-
"서울시",은평구,702,3740,2,956,9,548,333,335,-,-,6,1040,-,-,1,414,-,-,1,218,1,-,190,-,3,128,156,101,-,-
"서울시",서대문구,440,4126,2,2667,5,269,204,283,-,-,5,712,-,-,-,-,-,-,-,-,2,7,130,-,2,161,89,26,1,1
"서울시",마포구,768,1032,-,-,5,286,399,115,1,-,3,322,-,-,-,-,-,-,-,-,3,-,201,-,3,247,153,62,-,-
"서울시",양천구,663,3092,3,1310,5,453,306,359,-,-,3,720,-,-,-,-,-,-,-,-,3,-,188,-,4,209,151,41,-,-
"서울시",강서구,921,5205,4,1445,17,1247,454,542,2,-,5,1032,-,-,-,-,-,-,1,177,3,-,237,-,8,536,190,226,-,-
"서울시",구로구,601,4744,2,1277,8,529,286,259,2,-,7,1900,1,403,-,-,-,-,1,188,1,-,177,-,2,104,114,84,-,-
"서울시",금천구,358,2136,1,242,4,339,164,236,-,-,4,664,-,-,-,-,-,-,1,219,-,-,108,-,4,397,72,39,-,-
"서울시",영등포구,797,5914,7,1998,8,698,377,330,10,-,12,2419,-,-,-,-,-,-,1,239,-,-,232,-,3,156,147,74,-,-
"서울시",동작구,595,2792,2,1550,5,317,279,254,-,-,3,527,-,-,-,-,-,-,-,-,2,-,173,-,1,48,130,96,-,-
"서울시",관악구,714,2430,1,289,11,770,342,322,3,-,3,671,-,-,-,-,-,-,-,-,1,-,205,-,4,178,144,200,-,-
"서울시",서초구,1371,3783,1,1362,13,1042,774,407,8,-,4,600,-,-,-,-,-,-,-,-,5,-,310,12,6,331,250,29,-,-
"서울시",강남구,2815,8856,3,3052,34,2195,1831,1342,6,1,9,1338,-,-,-,-,-,-,-,-,13,5,534,38,14,859,371,26,-,-
"서울시",송파구,1250,7345,2,3111,21,1329,604,748,4,-,10,1356,1,200,-,-,-,-,1,201,3,-,336,-,7,350,261,50,-,-
"서울시",강동구,867,6327,3,2265,14,856,405,648,3,-,6,1776,-,-,-,-,-,-,-,-,3,9,234,-,8,660,191,113,-,-
