"동별,""독거노인별"",""성별"",""항목"",""단위"",""2019 년"",""2020 년"",""2021 년"",""2022 년"",""2023 년"","
"서울특별시,""합계"",""계"",""독거노인현황(성별)"","""",""343567"",""366134"",""392351"",""422776"",""448251"","
"서울특별시,""합계"",""남"",""독거노인현황(성별)"","""",""110664"",""117958"",""128434"",""138892"",""149748"","
"서울특별시,""합계"",""여"",""독거노인현황(성별)"","""",""232903"",""248176"",""263917"",""283884"",""298503"","
"서울특별시,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""80376"",""92446"",""110183"",""122508"",""129275"","
"서울특별시,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""27823"",""33274"",""40024"",""45703"",""48661"","
"서울특별시,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""52553"",""59172"",""70159"",""76805"",""80614"","
"서울특별시,""저소득노인"",""계"",""독거노인현황(성별)"","""",""20131"",""19535"",""14471"",""13645"",""12775"","
"서울특별시,""저소득노인"",""남"",""독거노인현황(성별)"","""",""5065"",""5234"",""3759"",""4100"",""3619"","
"서울특별시,""저소득노인"",""여"",""독거노인현황(성별)"","""",""15066"",""14301"",""10712"",""9545"",""9156"","
"서울특별시,""일   반"",""계"",""독거노인현황(성별)"","""",""243060"",""254153"",""267697"",""286623"",""306201"","
"서울특별시,""일   반"",""남"",""독거노인현황(성별)"","""",""77776"",""79450"",""84651"",""89089"",""97468"","
"서울특별시,""일   반"",""여"",""독거노인현황(성별)"","""",""165284"",""174703"",""183046"",""197534"",""208733"","
"종로구,""합계"",""계"",""독거노인현황(성별)"","""",""9149"",""9648"",""8573"",""8998"",""11178"","
"종로구,""합계"",""남"",""독거노인현황(성별)"","""",""3685"",""3753"",""3385"",""3596"",""4748"","
"종로구,""합계"",""여"",""독거노인현황(성별)"","""",""5464"",""5895"",""5188"",""5402"",""6430"","
"종로구,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""1445"",""1663"",""1839"",""2000"",""2231"","
"종로구,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""759"",""880"",""975"",""1079"",""1213"","
"종로구,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""686"",""783"",""864"",""921"",""1018"","
"종로구,""저소득노인"",""계"",""독거노인현황(성별)"","""",""528"",""377"",""337"",""349"",""403"","
"종로구,""저소득노인"",""남"",""독거노인현황(성별)"","""",""175"",""124"",""122"",""115"",""127"","
"종로구,""저소득노인"",""여"",""독거노인현황(성별)"","""",""353"",""253"",""215"",""234"",""276"","
"종로구,""일   반"",""계"",""독거노인현황(성별)"","""",""7176"",""7608"",""6397"",""6649"",""8544"","
"종로구,""일   반"",""남"",""독거노인현황(성별)"","""",""2751"",""2749"",""2288"",""2402"",""3408"","
"종로구,""일   반"",""여"",""독거노인현황(성별)"","""",""4425"",""4859"",""4109"",""4247"",""5136"","
"사직동,""합계"",""계"",""독거노인현황(성별)"","""",""439"",""590"",""490"",""513"",""556"","
"사직동,""합계"",""남"",""독거노인현황(성별)"","""",""144"",""195"",""160"",""171"",""197"","
"사직동,""합계"",""여"",""독거노인현황(성별)"","""",""295"",""395"",""330"",""342"",""359"","
"사직동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""59"",""52"",""60"",""56"",""54"","
"사직동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""23"",""22"",""30"",""25"",""24"","
"사직동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""36"",""30"",""30"",""31"",""30"","
"사직동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""20"",""18"",""10"",""10"",""14"","
"사직동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""2"",""6"",""2"",""4"",""5"","
"사직동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""18"",""12"",""8"",""6"",""9"","
"사직동,""일   반"",""계"",""독거노인현황(성별)"","""",""360"",""520"",""420"",""447"",""488"","
"사직동,""일   반"",""남"",""독거노인현황(성별)"","""",""119"",""167"",""128"",""142"",""168"","
"사직동,""일   반"",""여"",""독거노인현황(성별)"","""",""241"",""353"",""292"",""305"",""320"","
"삼청동,""합계"",""계"",""독거노인현황(성별)"","""",""167"",""240"",""189"",""213"",""193"","
"삼청동,""합계"",""남"",""독거노인현황(성별)"","""",""51"",""72"",""58"",""71"",""58"","
"삼청동,""합계"",""여"",""독거노인현황(성별)"","""",""116"",""168"",""131"",""142"",""135"","
"삼청동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""13"",""16"",""17"",""19"",""17"","
"삼청동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""3"",""4"",""5"",""6"",""7"","
"삼청동,""국민기초생활보장 수급권자"",""여"",""독거노인현황(성별)"","""",""10"",""12"",""12"",""13"",""10"","
"삼청동,""저소득노인"",""계"",""독거노인현황(성별)"","""",""5"",""3"",""6"",""4"",""10"","
"삼청동,""저소득노인"",""남"",""독거노인현황(성별)"","""",""0"",""0"",""0"",""-"",""2"","
"삼청동,""저소득노인"",""여"",""독거노인현황(성별)"","""",""5"",""3"",""6"",""4"",""8"","
"삼청동,""일   반"",""계"",""독거노인현황(성별)"","""",""149"",""221"",""166"",""190"",""166"","
"삼청동,""일   반"",""남"",""독거노인현황(성별)"","""",""48"",""68"",""53"",""65"",""49"","
"삼청동,""일   반"",""여"",""독거노인현황(성별)"","""",""101"",""153"",""113"",""125"",""117"","
"부암동,""합계"",""계"",""독거노인현황(성별)"","""",""346"",""489"",""418"",""459"",""458"","
"부암동,""합계"",""남"",""독거노인현황(성별)"","""",""113"",""167"",""145"",""166"",""157"","
"부암동,""합계"",""여"",""독거노인현황(성별)"","""",""233"",""322"",""273"",""293"",""301"","
"부암동,""국민기초생활보장 수급권자"",""계"",""독거노인현황(성별)"","""",""37"",""44"",""61"",""58"",""44"","
"부암동,""국민기초생활보장 수급권자"",""남"",""독거노인현황(성별)"","""",""15"",""17"",""20"",""18"",""15"","
